,Type of Feeding,,,,,,,,,,,
,Total Births,,,,Singleton Births ,,,,Multiple Births ,,,
Frequency,Artificial,Breast,Combined,Total,Artificial,Breast,Combined,Total,Artificial,Breast,Combined,Total
Row Per Cent,,,,,,,,,,,,
Col. Per Cent,,,,,,,,,,,,
Under 20 Years,786,250,66,"1,102",772,*,*,"1,073",14,*,~,29
20-24 Years,"3,158","1,632",388,"5,178","3,091",*,*,"5,074",67,*,*,104
25-29 Years,"5,409","4,883","1,099","11,391","5,241","4,813","1,040","11,094",168,70,59,297
30-34 Years,"8,284","12,193","2,470","22,947","7,982","11,893","2,265","22,140",302,300,205,807
35-39 Years,"6,458","10,266","2,004","18,728","6,112","9,950","1,818","17,880",346,316,186,848
40-44 Years,"1,380","2,173",548,"4,101","1,296","2,082",473,"3,851",84,91,75,250
45 Years and ,94,144,54,292,63,120,31,214,31,24,23,78
Total,"25,569","31,541","6,629","63,739","24,557","30,704","6,065","61,326","1,012",837,564,"2,413"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
